model,commits,added_code,added_comment,pooled_comment_ratio,median_commit_ratio,p25,p75,commits_over_50_lines,removed_code,removed_comment
"no Claude trailer",1152,309766,14404,0.044433,0.016746,0.000000,0.058462,481,111480,4433
"Claude Opus 4.6",793,115130,1525,0.013073,0.000000,0.000000,0.011905,417,64688,1117
"Claude Opus 5",399,74258,16258,0.179615,0.186551,0.098765,0.275862,293,25537,9067
"Claude Opus 4.5",357,81380,1768,0.021263,0.012478,0.000000,0.032799,219,32800,974
"Claude Opus 4.7",247,60167,835,0.013688,0.000000,0.000000,0.012560,159,17830,565
"Claude (version not recorded)",135,32467,1761,0.051449,0.041612,0.009256,0.063671,91,8417,440
"Claude Sonnet 4.5",108,27456,803,0.028416,0.012538,0.000000,0.045767,73,4205,163
"Claude Sonnet 4.6",189,24025,307,0.012617,0.000000,0.000000,0.015889,100,7381,74
"Claude Opus 4.8",79,16129,553,0.033150,0.000000,0.000000,0.051587,39,37420,901
"several models named",10,11265,135,0.011842,0.014649,0.006842,0.020080,9,2955,77
"Claude Fable 5",25,8112,1382,0.145566,0.038202,0.017857,0.081081,17,2420,169
"Claude Haiku 4.5",29,5226,19,0.003622,0.001766,0.000000,0.007347,8,7961,222
"Claude Sonnet 5",29,3382,251,0.069089,0.055542,0.022857,0.110227,18,341,32
"Claude Sonnet 4",2,541,0,0.000000,0.000000,0.000000,0.000000,1,20,0
"Claude Fable 5.1",3,288,4,0.013699,0.016260,0.016260,0.016260,1,28,1
